Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
Rapisarda	177 Court St Brooklyn NY 11201	https://instagram.com/myrapisarda/		http://rapisarda.com/		
Wink	1330 Third Ave NY 10075		https://www.pinterest.com/winkny/	http://www.winknyc.com/		
Coup de Coeur	136 E 28th St NY 10016	https://instagram.com/shopcoupdecoeur/		http://shopcoupdecoeur.com/		
The Reed Space	151 Orchard St NY 10002	https://instagram.com/reedspace/		http://thereedspace.com/		
Alter	407 graham Ave Brooklyn NY 11211	https://instagram.com/alterbrooklyn/		http://alterbrooklyn.com/		
EHVonnae	145 Front St Brooklyn NY 11201	https://instagram.com/ehvonnae/		http://ehvonnae.com/		
Century 21	22 Cortlandt St NY 10007	https://instagram.com/century21stores/		http://www.c21stores.com/		
Odin	328 E 11th St NY 10003	https://instagram.com/odinnewyork/		http://www.odinnewyork.com/		
Rag & Bone	104 Christopher St NY 10014	https://instagram.com/rag_bone/		http://www.rag-bone.com/		
AllSaints	411-417 West 13th Street Unit 1S NY 10014	https://instagram.com/allsaintslive/		http://www.us.allsaints.com/?WT.mc_id=YelpAllSaintsMeatpacking		
American Two Shot	135 Grand St Canal Street, NY 10013	https://instagram.com/americantwoshot/		http://americantwoshot.com/		
French Garment Cleaners	85 Lafayette Ave Brooklyn NY 11217	https://instagram.com/fgc_co/		https://frenchgarmentcleaners.com/		
lululemon athletica	1127 3rd Ave NY 10065	https://instagram.com/lululemon/?hl=en		https://instagram.com/dressingroomnyc/		
Volcom	446 Broadway Ave NY 10013	https://instagram.com/volcom/		http://www.volcom.com/		
Comptoir Des Cotonniers Flatiron	137 Fifth Ave Manhattan NY 10010	https://instagram.com/comptoirdescotonniers/		http://www.comptoirdescotonniers.com/eboutique/accueil		
Lee Lee's Forest	14 Fulton St NY 10038	https://instagram.com/leeleesforest/		http://www.leeleesforest.squarespace.com/		
Thistle & Clover	221 DeKalb Ave Brooklyn NY 11205	https://instagram.com/thistleclover/		http://thistleclover.com/		
Filson	40 Great Jones St NY 10003	https://instagram.com/filson1897/		http://www.filson.com/		
Hickoree's Floor Two	109 S 6th St Fl 2 Brooklyn NY 11211	https://instagram.com/hickorees/		http://www.hickorees.com/		
ENZ's	125 2nd Ave NY 10003	https://instagram.com/enzsnyc/		http://www.enzsnyc.com/		
By Robert James	74 Orchard St NY 10002	https://instagram.com/byrobertjames/		http://www.byrobertjames.com/		
Ame Ame	17 W 29th St 3B NY 10001	https://instagram.com/ameamenyc/		http://loveallseasons.com/		
Park Delicatessen	722 Classon Ave Brooklyn NY 11238	https://instagram.com/parkdelibk/		http://www.parkdelibk.com/		
Marimekko Flagship Store	200 5th Ave 23rd St Manhattan NY 10010	https://instagram.com/marimekkousa/		https://us.marimekko.com/#US		
Only Hearts	230 Mott St NY 10012	https://instagram.com/onlyhearts1978/?ref=badge		http://www.onlyhearts.com/		
Maje	417 Bleecker St NY 10014	https://instagram.com/majeofficiel		http://us.maje.com/		
Onassis Clothing	71 Greene St NY 10012	https://instagram.com/onassisclothing/		http://www.onassisclothing.com/		
Save Khaki	317 Lafayette St NY 10012	https://instagram.com/savekhaki/		http://savekhaki.com/		
Born to Tailor	380 Lexington Ave 17th Fl NY 10168	https://instagram.com/borntotailor/		http://www.borntotailor.com/		
Universal Gear	715 9th Ave NY 10019	https://instagram.com/universalgear		http://www.universalgear.com/		
Mary Meyer and Friends Vintage	56 Bogart St Brooklyn NY 11206	https://instagram.com/marymeyerclothing/		http://www.marymeyerclothing.com/		
Kai D	230 Grand St Brooklyn NY 11211		https://www.pinterest.com/artisanunited/	http://www.kaidutility.com/		
Kimono House	131 Thompson St NY 10012	https://instagram.com/kimonohousenewyork/?ref=badge		http://kimonohouse.blogspot.com/		
Town House Shops	504 LaGuardia Pl NY 10012	https://instagram.com/townhouseshops/		http://townhouseshops.lightspeedwebstore.com/		
Chrome Industries	238 Mulberry St NY 10012	https://instagram.com/chrome_industries/		http://www.chromeindustries.com/		
No 6 	6 Centre Market Pl NY 10013	https://instagram.com/no6_store/		http://no6store.com/		
LF Stores	149 Spring St NY 10012	https://instagram.com/lfstores/		http://lfstores.com/		
Zoe	68 Washington St Brooklyn NY 11201	https://instagram.com/shopzoe/?lang=en	https://www.pinterest.com/shopzoeonline/	http://www.shopzoeonline.com/		
Bombay Bridal	74-08 37th Rd NY 11372	https://instagram.com/bombaybridal/		http://www.bombaybridal.com/index.html		
1 of a Find Vintage	633 Vanderbilt Ave Brooklyn NY 11238	https://instagram.com/1ofafindvintage/		http://www.1ofafindvintage.com/index.php		
Bird	316 5th Ave Brooklyn NY 11215	https://instagram.com/shopbird/		http://www.shopbird.com/		
Clothingline	261 W 36th St 2nd Fl NY 10018	https://instagram.com/clothingline/		http://www.clothingline.com/		
Kaight	382 Atlantic Ave Brooklyn 11217	https://instagram.com/kaightshop/?hl=en		http://kaightshop.com/collections/new-arrivals		
Reiss	313 Bleeker St NY 10014	https://instagram.com/reissfashion		https://www.reiss.com/us/		
Goldy & Mac	219 5th Ave Brooklyn NY 11215	https://instagram.com/GOLDYANDMAC/		http://www.goldyandmac.com/		
Runis Desire	37-19 74th St Queens NY 11372			http://www.runisdesire.com/		
Personnel of New York	9 Greenwich Ave NY 10014	https://instagram.com/personnelofnewyork/		http://personnelofnewyork.com/		
Blue Tree	1283 Madison Ave NY 10128	https://instagram.com/bluetreenyc/		http://www.bluetreenyc.com/		
G-Star Raw NY	270 Lafayette St NY 10012	https://instagram.com/gstarraw/		https://www.g-star.com/en_us		
Theory	40 Gansevoort St NY 10184	https://instagram.com/theory__/		http://www.theory.com/		
Reason Outpost	436 E 9th St NY 10009	https://instagram.com/reasonclothing/		http://reasonclothing.com/		
Duo	337 E 9th St NY 10003	https://instagram.com/duonyc/		http://www.duonyc.com/		
Ruby and Scarlett	265 Metropolitan Ave Brooklyn NY 11211	https://instagram.com/rubyandscarlettny/		http://www.rubyandscarlett.com/		
Jachs	310 Bleecker St NY 10014	https://instagram.com/jachsny		http://www.jachsny.com/		
Dr Martens	148 Spring St NY 10012	https://instagram.com/drmartensofficial/		http://www.drmartens.com/us/		
Fanaberie	339 Bedford Ave Brooklyn NY 11211	https://instagram.com/fanaberie/		http://www.fanaberienyc.com/		
Shop Our Closet	319 Court St Brooklyn NY 11231	https://instagram.com/shopourclosetnyc/		http://www.shopourclosetnyc.com/		
55DSL	281 Lafayette St NY 10012	https://instagram.com/55dsl/		http://www.55dsl.com/		
Steven Alan	349 Atlantic Ave Brooklyn NY 11217	https://instagram.com/stevenalan/		http://www.stevenalan.com/		
Nicole Miller	77 Greene St NY 10012	https://instagram.com/nicolemillernyc/		http://www.nicolemiller.com/		
LF Stores	150 5th Ave NY 10011	https://instagram.com/lfstores/		http://lfstores.com/		
AG Jeans	111 Greene Street NY 10012	https://instagram.com/agjeans/		http://www.agjeans.com/		
Patricia Field	306 Bowery NY 10012	https://instagram.com/patricia_field/		http://patriciafield.com/		
Charles Tyrwhitt	745 7th Ave NY 10019	https://instagram.com/charlestyrwhitt/?=undefined&cm_sp=FT-Instagram		http://www.ctshirts.com/default.aspx?q=|||||||||||||||		
Oroboro	326 Wythe Ave Brooklyn NY 11249			http://oroborostore.com/collections/new-arrivals		
Nu New York	827 Broadway New York 10003	https://instagram.com/nu_newyork/	https://www.pinterest.com/nunewyork0130/	http://nunewyork.com/		
Acustom Apparel	330 W Broadway NY 10013	https://instagram.com/acustom		http://acustom.com/		
Odd.	164 Ludlow St NY 10002	https://instagram.com/odd_nyc/				
R.A.G.	1501 Broadway NY 10036	https://instagram.com/ragnewyork/	https://www.pinterest.com/ragnewyork/pins/	http://ragnewyork.com/		
Malin Landaeus	157 N 6th St Brooklyn NY 11211	https://instagram.com/malinlandaeusvintage/?hl=en				
Epaulet Shop	231 Smith St Brooklyn NY 11231	https://instagram.com/epaulet/		http://epauletnewyork.com/		
Louis Purple	323 Lafayette NY 10012	https://instagram.com/louis_purple_		http://www.louispurple.com/		
Self Edge	157 Orchard St New York 10002	https://instagram.com/selfedge		http://www.selfedge.com/		
Sweaty Betty	77 Mercer St NY 10012	https://instagram.com/sweatybetty/		http://www.sweatybetty.com/		
Scoop NYC	1275 3rd Ave NY 10021	https://instagram.com/scoopnyc/		http://www.scoopnyc.com/#		
John Varvatos	122 Spring St NY 10012	https://instagram.com/johnvarvatos/		http://www.johnvarvatos.com/		
Modern Anthology	68 Jay St Brooklyn NY 11201	https://instagram.com/modernanthology/		http://www.modernanthology.com/		
Rue St Denis Clothier Ltd	170 Ave B NY 10009	https://instagram.com/ruestdenis/		http://www.vintagenyc.com/		
Tafari Tribe Globe Trade	593 Flatbush Ave Brooklyn NY 11225	https://instagram.com/tafaritribeshop/		http://www.tafaritribeshop.com/		
The Rising States	168 Ludlow St NY 10002	https://instagram.com/therisingstates/		http://www.therisingstatesnyc.com/		
French Connection	700 Broadway NY 10003	https://instagram.com/frenchconnection_official/		http://usa.frenchconnection.com/content/stores/united+states.htm		
Y-3 New York	92 Greene St NY 10012	https://instagram.com/adidasy3/		http://www.y-3.com/us/#/show/		
Rime	157 Smith St Brooklyn NY 11201	https://instagram.com/RIME_NYC		http://www.rimenyc.com/		
Flavour	1730 Sheepshead Bay Rd Brooklyn NY 11235	https://instagram.com/flavour86/		http://flavour86.com/		
Mandee Shop	9310 Rockaway Blvd Ozone Park NY 11417	https://instagram.com/shopmandee		http://www.mandee.com/		
Nasty Pig	259 West 19th St New York 10011	https://instagram.com/nastypig/		http://store.nastypig.com/		
Alice + Olivia	80 W 40th St NY 10018	https://instagram.com/aliceandolivia/		http://www.aliceandolivia.com/		
Muji	16 W 19th St NY 10011	https://instagram.com/mujiusa/		http://www.muji.com/us/		
Mishka NYC	350 Broadway Brooklyn 11211	https://instagram.com/mishkagram/		https://mishkanyc.com/		
Ports 1961	3 Ninth Ave NY 10014			http://www.ports1961.com/		
Topman	478 Broadway NY 10013	https://instagram.com/topman/		http://us.topman.com/?geoip=home		
Kitsch	358 Grand St Brooklyn NY 11211	https://instagram.com/kitschboutique		http://www.kitschboutique.com/		
Yumi Kim	1331 3rd Ave NY 10075	https://instagram.com/yumikim/		http://yumikim.com/		
Hamlet's Vintage	146 4th St NY 10012			http://hamletsvintage.com/site/		
Rainbow Shops	380 5th Ave NY 10018	https://instagram.com/rainbowshops/		http://www.rainbowshops.com/		
Tibi	120 Wooster Street NY 10012	https://instagram.com/tibi/		http://www.tibi.com/		
Dave's New York	581 Avenue of the Americas NY 10011	https://instagram.com/davesnewyork		http://davesnewyork.com/		
Grand St Bakery	602 Grand St Brooklyn NY 11211	https://instagram.com/GrandStBakery/		http://grandstbakery.com/		
Cadet	46 N 6th St NY 11211	https://instagram.com/cadetusa/		http://www.cadetusa.com/		
Fox & Fawn	570 Manhattan Ave Brooklyn NY 11222	https://instagram.com/foxandfawn/		http://www.shopfoxandfawn.com/		
Lovely Bride	182 Duane St NY 10013	https://instagram.com/lovelybride/		http://lovelybride.com/		
Gabriela de la Vega	88 S Portland Ave Brooklyn NY 11217			http://gabrieladelavega.bigcartel.com/		
Catherine Malandrino	652 Hudson St NY 10014	https://instagram.com/malandrinobuzz/		http://catherinemalandrinousa.com/		
The Meat Market Brooklyn	380 Tompkins Ave Brooklyn NY 11216	https://instagram.com/ilovemeatmarket/		http://www.ilovemeatmarket.com/		
Clementine Consignment	39 1/2 Washington Sq S NY 10012	https://instagram.com/clementineconsigns/		http://clementineconsignment.com/		
The Tailolry NY	9 E 53rd St 5th Fl NY 10022	https://instagram.com/thetailorynyc/		http://thetailorynyc.com/		
Rebecca Taylor	260 Mott Street NY 10012	https://instagram.com/rebeccataylornyc/		http://www.rebeccataylor.com/		
The Hoodie Shop	181 Orchard St NY 10002	https://instagram.com/thehoodieshop/?ref=badge		http://thehoodieshop.com/		
Madonna & Co	284 Lafayette St NY 10012	https://instagram.com/madonnaandco		http://www.madonnaandco.com/		
Goose Barnacle	91 Atlantic Ave Brooklyn NY 11201	https://instagram.com/goosebarnacle/		http://goosebarnacle.com/		
Alan David Custom	16 E 40th St Ste 702 NY 10016		https://www.pinterest.com/alandavidcustom/	http://www.alandavid.com/		
Behavior New York	231 W 19th St NY 10011	https://instagram.com/behaviournyc		http://www.behaviournewyork.com/		
The Mobile Vintage Shop	43 Bogart St Brooklyn NY 11206	https://instagram.com/mobilevintagebk/		http://www.themobilevintageshop.com/		
Wild Was Mama	272 Driggs Ave Brooklyn 11222	https://instagram.com/wildwasmama/		http://www.wildwasmama.com/		
Bergdorf Goodman	754 5th Ave NY 10019	https://instagram.com/bergdorfs/		http://www.bergdorfgoodman.com/		
Unis 	226 Elizabeth St NY 10012	https://instagram.com/unisnewyork/		http://unisnewyork.com/		
Cego Custom Shirtmakers	254 Fifth Ave 3rd Fl NY 10001	https://instagram.com/cegonyc/		http://www.cego.com/		
Maison Kitsune	1170 Broadway NY 10001	https://instagram.com/kitsune/		http://www.kitsune.fr/journal/author/maison-kitsune-at-nomad-new-york/		
Babel Fair	260 Elizabeth St NY 10012	https://instagram.com/BabelFair				
Pas De Deux	328 E 11th St NY 10003	https://instagram.com/pasdedeuxny/		http://pasdedeuxny.com/		
Hudson+Lawrence	355 Atlantic Ave Brooklyn 11217	https://instagram.com/hudson_lawrence		http://www.hudsonlawrence.com/		
Ben Sherman Menswear	96 Spring St NY 10012	https://instagram.com/aheritageofmodernism/		http://www.bensherman.com/		
Pretty Girl	13621 Roosevelt Ave Flushing NY 11354	https://instagram.com/shopprettygirl/		http://www.shopprettygirl.com/		
Sincerely, Tommy	343 Tompkins Ave Brooklyn NY 11216	https://instagram.com/sincerelytommy_/		http://sincerelytommy.com/		
Neda	302 Court St Brooklyn NY 11231	https://instagram.com/nedaboutique/		http://www.nedaboutique.com/		
Faconnable	636 5th Ave NY 10020	https://instagram.com/faconnable/		http://faconnable.com/en/		
Barbour	123 Wooster St NY 10012	https://instagram.com/barbour/		http://www.barbour.com/us		
Pachute	1582 1st Ave Manhattan 10028	https://instagram.com/pachutenyc/		http://pachute.com/shop/		
Parke & Ronen	176 9th Ave NY 10011	https://instagram.com/parkeandronen/		http://parkeandronen.com/		
Anya Hindmarch	115 Greene Street NY 10012	https://instagram.com/anyahindmarch/		http://www.anyahindmarch.com/		
Olive & Bette's	158 Spring St NY 10012	https://instagram.com/oliveandbettesnyc		http://www.oliveandbettes.com/		
MNG by Mango	561 Broadway NY 10012	https://instagram.com/mango/		http://shop.mango.com/home.faces?state=she_400_US		
7 For All Mankind	73 5th Ave NY 10003	https://instagram.com/7fam/		http://www.7forallmankind.com/		
Orla Kiely	5 Mercer St NY 10013	https://instagram.com/orlakiely/		http://www.orlakiely.com/usa/?home&pref=usa		
Olive's Very Vintage	434 Court St Brooklyn NY 11231	https://instagram.com/olaflovesolive/		http://www.olivesveryvintage.com/olivesveryvintage.com/Welcome.html		
Awoke Vintage	132 N5th St Brooklyn 11211	https://instagram.com/awokevintagebrooklyn		http://awokevintage.com/		
Michael's Consignment Shop	1041 Madison Ave 2nd Fl NY 10075	https://instagram.com/michaelsconsign/		http://www.michaelsconsignment.com/		
Bijoutique NY	362 Atlantic Ave Brooklyn NY 11217			http://www.kbjewelrydesign.com/		
Original Penguin	1077 6th Ave NY 10018	https://instagram.com/originalpenguin/?utm_source=originalpenguin&utm_medium=link&utm_term=none&utm_content=originalpenguin&utm_campaign=hplink		http://www.originalpenguin.com/		
Seize sur Vingt	78 Greene St NY 10012			http://www.16sur20.com/		
Piccolini	167 Mott St NY 10013	https://instagram.com/piccolininyc/		http://piccolininyc.com/		
TAGG	720 9th Ave NY 10019	https://instagram.com/taggstore/		http://www.taggstore.com/		
Lilla P	420 W 14th St NY 10014	https://instagram.com/lillapnyc/		http://www.lillap.com/		
Genuine Motorworks	195 N 14th St Brooklyn 11211	https://instagram.com/genuinemotorworks/		http://www.genuinemotorworks.com/		
Antoinette	119 Grand St Brroklyn 11211	https://instagram.com/antoinettebrooklyn/		http://www.antoinettebrooklyn.com/		
Modabox	193 Front St NY 10038	https://instagram.com/modabox/		http://moda-box.com/		
Screaming Mimi's	382 Lafayette St NY 10003	https://instagram.com/screamingmimisvintage/		http://www.screamingmimis.com/		
INA	21 Prince St NY 10012	https://instagram.com/inanyc/		http://www.inanyc.com/		
ManuelRacim	44 Hudson St NY 10013	https://instagram.com/manuelracim		http://www.manuelracim.com/		
Schott NYC	236 Elizabeth St NY 10012	https://instagram.com/schottnyc/		https://www.schottnyc.com/		
Blue and Cream	1 E 1st St NY 10003	https://instagram.com/blueandcream/		http://www.blueandcream.com/		
Beacon's Closet	92 5th Ave Brooklyn 11215	https://instagram.com/beaconscloset/		http://www.beaconscloset.com/		
Lord Willy's	225 Mott St NY 10012			http://www.lordwillys.com/		
Michal Negrin	448 W Broadway NY 10012	https://instagram.com/michalnegrinusa/		http://www.negrinusa.com/		
Zumiez	840 N Broadway NY 10003	https://instagram.com/zumiez/		http://www.zumiez.com/		
BGN Paris	202 W 40th St Ste 902 NY 10018	https://instagram.com/bgnfashion/		http://www.bgn.fr/		
Vivienne Hu	88 Thompson St NY 10012	https://instagram.com/viviennehustudio/		http://www.viviennehu.com/		
Black Lapel Custom Clothiers	121 W 27th St Ste 1204 NY 10001	https://instagram.com/blacklapel/		http://www.blacklapel.com/		
A Second Chance 	1111 Lexington Ave 2nd Fl NY 10075	https://instagram.com/ascresale		http://www.asecondchanceresale.com/		
Vintage India NYC	132 Lexington Ave NY 10016	https://instagram.com/vintageindianyc/		http://www.vintageindianyc.com/		
Pink Penguin 	110 Macdougal St NY 10012	https://instagram.com/pinkpenguininc/		http://www.pinkpenguinnyc.com/		
Tokyo Rebel	158 Allen St NY 10002	https://instagram.com/tokyorebel		http://www.tokyorebel.com/		
Alberta Ferretti	452 W Broadway NY 10012	https://instagram.com/albertaferretti/		http://www.albertaferretti.com/us		
Halston Heritage	59 Greene St NY 10012	https://instagram.com/halston/		http://www.halston.com/		
Moods of Norway	75 Greene St NY 10012	https://instagram.com/moodsofnorway		http://www.moodsofnorway.com/us/		
Nepenthes	307 W 38th St NY 10018	https://instagram.com/nepenthesny/		http://nepenthesny.tumblr.com/		
NYGARD Fashion	1431 Broadway Ground Flr NY 10018	https://instagram.com/nygardslims		http://www.nygard.com/en-ca		
Mackage	123 Mercer St NY 10012	https://instagram.com/houseofmackage/		http://www.mackage.com/		
Think Closet	159 Prince St NY 10012	https://instagram.com/thinkclosetnyc/		http://www.thinkcloset.com/		
DIGS	1054 3rd Ave NY 10065		https://www.pinterest.com/digsny/	http://digsny.com/		
Robbie and Co Men's Shop	147 W 35th St NY 10001	https://instagram.com/mrrobbiesuits/		http://robbiesuitsnyc.com/		
Costume National	150 Greene St NY 10012	https://instagram.com/costumenational/		http://www.costumenational.com/on/demandware.store/Sites-costume-Site/en/Home-Show		
Max Studio	426 W Broadway Ny 10012	https://instagram.com/maxstudiousa/		http://www.maxstudio.com/		
Dangerous Mathematicians	394 Atlantic Ave Brooklyn 11217	https://instagram.com/dangerousmathematicians/		http://dangerousmathematicians.com/		
Ruby and Jenna	1308 Kings Hwy Brooklyn NY 11229	https://instagram.com/rubyandjenna/		http://www.rubyandjenna.com/		
& Other Stories	575 Broadway NY 10012			http://www.stories.com/us/		
Barbara Bui	117 Wooster St NY 10012	https://instagram.com/barbarabuiofficial/		http://www.barbarabui.com/us		
3NY	448 Broome St NY 10013	https://instagram.com/shop3ny/		http://www.3nyboutiques.com/		
Sandro	8 Prince St NY 10012	https://instagram.com/sandroparis/		http://us.sandro-paris.com/		
Huitzilli Mexican Handcraft	624 Metropolitan Ave Brooklyn 11211	https://instagram.com/huitzilli/		http://huitzilli.myshopify.com/		
Suitsupply	453 Broome St NY 10013	https://instagram.com/suitsupply		http://us.suitsupply.com/en_US/home		
Helmut Lang	93 Mercer St NY 10012	https://instagram.com/helmutlang/		http://www.helmutlang.com/		
Proenza Schouler	121 Greene St Ny 10012	https://instagram.com/proenzaschouler/		https://www.proenzaschouler.com/		
Flavour	2059 86th St Brooklyn 11214	https://instagram.com/flavour86/		http://www.flavour86.com/		
Barbour	1047 Madison Ave Ny 10021	https://instagram.com/barbour/		http://www.barbour.com/us		
Intimacy	1051 Third Avenue NY 10065	https://instagram.com/intimacybrafit/		http://www.myintimacy.com/		
Carolina Herrera	954 Madison Ave NY 10021	https://instagram.com/houseofherrera/		http://www.carolinaherrera.com/newyork/en		
Desigual	594 Broadway NY 10012	https://instagram.com/desigual		http://www.desigual.com/en_US		
Who A U	22 W 34th St NY 10001	https://instagram.com/whoauusa/		http://whoau.us/		
Sean	224 Columbus Ave NY 10023	https://instagram.com/seanstores/		http://www.seanstore.com/		
Quinn	181 Orchard St NY 10002	https://instagram.com/quinnnyc		http://quinnshop.com/		
Massimo Dutti	689 5th Ave NY 10022	https://instagram.com/massimodutti		http://www.massimodutti.com/us/en/?redirect=true		
Mavi Jeans	205 5th Ave Brooklyn NY 11217	https://instagram.com/maviusa/		http://us.mavi.com/		
Dr Jay's Ladies	471 Fulton St Brooklyn NY 11201	https://instagram.com/drjays/		http://www.drjays.com/		
Alton Lane	11 W 25th St 5th Fl NY 10010	https://instagram.com/altonlane		http://www.altonlane.com/		
Scotch & Soda	866 Broadway NY 10003	https://instagram.com/scotch_official/		http://www.scotch-soda.com/us/en/home		
INA	101 Thompson St NY 10012	https://instagram.com/inanyc/		http://www.inanyc.com/		
Chari & Co NYC	175 Stanton St NY 10002	https://instagram.com/chariandconyc/		http://www.chariandconyc.com/		
Isabel Marant	55 Greene St NY 10013	https://instagram.com/isabelmarant/		http://www.isabelmarant.com/en/		
MissesDressy	37-24 24th St Ste 340 Long Island City 11101	https://instagram.com/missesdressy/		http://www.missesdressy.com/		
Metropolis	43 3rd Ave NY 10003			http://metropolisvintageonline.com/		
Paige Premium Denim	869 Washington St NY 10014	https://instagram.com/paigedenim/		http://www.paige.com/		
The Starting Line	180 8th Ave NY 10011	https://instagram.com/thestartinglinenyc/		http://www.thestartinglinenyc.com/		