category/ sub category	default  weight																																																																																																																																																																																																																																																																																																																																																																																																																																			
Age	5	Young	Kids	Infant	Senior	Youth	Children	Teen	Baby	Toddler																																																																																																																																																																																																																																																																																																																																																																																																																										
Gender	7	Women	Men	Female	Male	Girl	Boy	Andrognyous	Unisex	Agender	Neutral	Genderqueer	Non-binary																																																																																																																																																																																																																																																																																																																																																																																																																							
Size	7	Slimfit	Slim	Skinny	Petite	Plus size	Chubby	XXXL	Big Size	curvy	hourglass	rectangle-body	triangle-body	apple-shape	pear-shape																																																																																																																																																																																																																																																																																																																																																																																																																					
Minor event	5	Office	cocktail	company	date	football	party	mixer	social	baseball	tennis	swimming	office	all hallows	halloween	monster	mermaid																																																																																																																																																																																																																																																																																																																																																																																																																			
Major event	7	Wedding	christmas	prom	graduation	banquet	funeral	bar mitzvah	bat mitzvah	ramadan	wedding	maternity	pregnancy	mother	bridesmaid	bride	mother of bride	flower girl	holiday	christmas	thanksgiving	black friday	ball	opera	theater																																																																																																																																																																																																																																																																																																																																																																																																											
Apparel Item	9	Jacket	tunic	sweatshirt	cardigan	shirt	sweater	tshirt	t-shirt	vest	jersey	dress-shirt	dressshirt	polo	polo-shirt	tank	tanktop	tank-top	blouse	henley	crop	croptop	crop-top	tube	tubetop	tube-top	jeantop	jean-top	halter	haltertop	turtle	turtleneck	turtle-neck	dress	sundress	gown	corset	tea dress	wrap	wrap dress	blouson	jacket	coat	blazer	hoodie	suit	windbreaker	parka	leather-jacket	leatherjacket	harrington	harrington-jacket	harringtonjacket	poncho	robe	shawl	tuxedo	overcoat	over-coat	sport-coat	sportcoat	waistcoat	waist-coat	duffle	dufflecoat	duffle-coat	peacoat	suit	britishwarm	british-warm	ulster	ulster-coat	winterjacket	winter-jacket	puffer	puffer-jacket	cagoule	chesterfield	cover-coat	covercoat	duffle-coat	bomber	bomber-jacket	bomberjacket	trench	trenchcoat	trench-coat	raincoat	guardjacket	guard-jacket	mess-jacket	messjacket	operacoat	opera-coat	shrug	shorts	pants	pant	jeans	jean	trousers	trouser	chaps	cargo	capri	palazzo	palazzos	chinos	chino	khaki	khakis	overalls	yoga-pants	yogapants	lowrise	lowrise-pants	lowrisepants	sweatpants	sweat-pants	parachute	phat	pedal-pushers	pedalpushers	dresspants	dress-pants	bellbottoms	bell-bottoms	bermuda	windpants	wind-pants	windbreaker	hoodie	Crinoline	skirt	miniskirt	mini-skirt	a-line	aline	aline-skirt	ballerina	ballerina-skirt	denimskirt	denim-skirt	jobskirt	job-skirt	microskirt	micro-skirt	pencil-skirt	pencilskirt	praire	praire-skirt	praireskirt	tutu	wrap-skirt	wrapskirt	leatherskirt	leather-skirt	petticoat	Activewear	swim	swimwear	swim-wear	swimsuit	swim-suit	swim-briefs	swimbriefs	wet	wetsuit	wet-suit	surfer	surf	trunks	bikini	boardshorts	board	drysuit	one-piece	onepiece	rashguard	rash	yoga	sports	Underwear	underwear	underpants	boxers	briefs	boxer	brief	panties	slip	hoisery	bra	bras	jogger																																																																																																																																																																																																																																	
Minor Item	7	Earrings	bracelet	earrings	ring	necklace	sunglasses	watch	wristwatch	scarf	sash	headband	glasses	cufflink	tie	necktie	bow	bowtie	belt	bandana	suspenders	wallet	earrings	earring	necklace	ring	brooch	brooches	bracelet	bracelets	tie	bowtie	hairband	headband	scarf	anklet	hoop	hat	cap	fedora	ascot caps	akubra	ayam	balaclava	balmoral bonnet	barretina	baseball cap	baseball hat	beanie	bearskin	lid	fitted cap	fitted caps	59fifty	beret	bicorne	biretta	boater	boonie hat	boss of the plains	boudoir cap	bowler	derby	breton	bucket 	bucket hat	busby	campaign hat	capirote	capotain	cappello romano	cartwheel hat	casquette	caubeen	chengziguan	chilote cap	chullo	chupalla	cloche	cricket cap	sombrero 	conical	coonskin	fur hat	custodian helmet	helmet	deerstalker	draped turban	turban	dunce cap	fascinator	fedora	fez	flat cap	newsboy 	gat	gatsby	garrison of forage	guang paung	ghutrah	glengarry	green eyeshade	half hat	halo hat	hard hat	hard helmet	hardee hat	hennin	homburg	icelandic tail-cap	jaapi	karakul	qaraqul	kepi	kippah	yarmulke	kolpik	kofia	kova tembel	kufi	mitre	pope hat	montera	mortarboard	graduation hat	mushroom hat	pakul	panama	papakhi	party hat	patrol cap	peach basket hat	peaked cap	phrygian cap	Gainsborough	garden hat	pilgrim hat	pillbox	pith helmet	pith	platner's hat	porkpie	rastacap	sami hat	sailor hat	Šajkača	salakot	santa hat	shako	shtreimel	slouch	songkok	stetson	student cap	sun hat	tam o' shanter	taqiyah	top hat	toque	chef's hat	trilby	tricorne	trucker hat	trucker cap	tubeteika	tudor bonnet	bonnet	tuque	tyrolean hat	ushanaka	russian fur	flap hat	vueltiao	umbrella hat	zucchetto	hijab	veil	burqa	selendang	tudung	kerudung	paranja	niqaab	mukena	khimar	jilbab	dupatta	chador	najd	igal	bisht	blangkon	ihram	kuffiyya	ghutra	smagh	peci	jubba	thawb																																																																																																																																																																																																																													
Style	5	Boho	boyfriend	mom	biker	rock	southern	hawaiian	skater	boy	mod	sleek	Bohemian	Arty	chic	classic	exotic	oriental	ethnic	vintage	retro	flamboyant	dramatic	glamorous	femme	hollywood	romantic	fairy	angelic	whimsical	quirky	sexy	body con	sophisticated	elegant	western	american	european	asian	japanese	harajuku	alternative	conservative	traditional	wholesome	sensible	next-door	practical	rough	cowboy	preppy	college	polo	girly	luxury	punk	edgy	babydoll	nautical	sailor	pin up	anti-materialistic	skater	tomboy	rocker	grunge	goth	hippie	hipster	ladylike	bombshell	feminine	earthy	natural	flower child	pulled together	polished	refined	flirty	maverick	avant garde	bold	forward	experiment	trendsetter	new	nouveau	minimalist	sleek	simple	monochrome	toned down	sharp	smart	no-frills	electic	madcap	clean	tailored	comfort	quality	uncluttered	impeccable	stable	stripper	boudoir	burlesque	hip hop	rock n roll	country	midwest	beachy	miami	futuristic	boho-chic	hippie-chic	sporty	baroque	urban	military	camoflauge	structured	lounge	bauhaus	color blocking	tribal	steampunk	cyber	biopunk	visual goth	nu goth	nu grave	rockabilly	scene	jock	fratboy	sportsbro	bro	atheletic	mod	indie	tumblr	dapper	tactical	normcore	biker	bozoku	chav	casuals	anarcho-punk	chonga	cosplay	crusties	cybergoth	dead heads	demoscene	dieselpunk	emo	furry	glam-rock	glam-metal	gothic lolita	lolita	greaser	gutter punk	hacker	hardcore	hardline	heavy metal	industrial	rivethead	juggalo	junglist	lad	laddie	leather	maker	mangas	chola	mod	mod revival	metalcore	neo-victorian	nudism	naturism	northern soul	otaku	otherkin	vampire	vampyre	theriantophy	pachuco	psychedelia	psychonauts	queer	raggare	rave	riot grrl	roleplay	larp	fuccboi	rude boy	rudi	rudie	rudy	gangsta	badman	sci-fi	fantasy	scooterboy	scouting	skinhead	suedehead	sneakerhead	soulboy	stilyaga	california	LA	west coast	east coast	new england	midwest	south	straight edge	swing kids	teenybopper	trekkie	warez	zazou	french	parisian	italian	milan	spanish	flamenco	brazilian	indian	chinese	thai	hawaiian	neckbeard	wiccan	pagan	magic	witch	teaboo	zef side																																																																																																																																																																													
Detail	3	Collar	bootcut	pencil	midi	mini	semi	sleeveless	zip	a-line	backless	baggy	boot-cut	brief	button-down	button-through	clingy	close-fitting	designer	double-breasted	drip-dry	décolleté	easy-care	flame-retardant	full	full-length	heavy	homespun	hooded	jackie-o	knee-length	light	lined	long	loose	loose-fitting	low	low-cut	machine-washable	made-to-measure	monogrammed	off-the-peg	off-the-rack	one-piece	open-necked	oversized	padded	peaked	permanent-press	pleated	plunging	plus-size	preshrunk	raglan	rainproof	ready-to-wear	reversible	rolled-up	ruched	seamed	seamless	single-breasted	fit and flare	flare	princess	a-line	tulip	bubble	skinny	skintight	sleeveless	longsleeve	short sleeve	cap sleeve	three quarter	starched	straight	strapless	strappy	stretch	stretchy	tailor-made	tailored	thermal	two-piece	set	halter	unlined	v-necked	crew neck	round neck	boat neck	maxi	mini	washable	waterproof	wearable	weatherproof	wraparound	zip-up	zippered	back zip	elastic waist	shirring	elastic back	voluminous	aerodynamic	peter pan	mandarin	french-seam	emboridery	applique	pintuck	lace	sequin	tassel	fringe	ruffle	low waist	fit and flare	high waist	empire	accordian	book 	pleat	asymmetrical	circle	cowl	draped	godet	gypsy	fishtail	mermaid	knife pleat	layered	panelled	pegged	pencil	peplum	sarong	slit	straight	trumpet	tube	tulle	ascot	bertha	buster brown	butterfly	cape	chelsea	clerical	detachable	edwardian	fichu	high neck	pussy bow	ribbon	shawl	wing	pocket	belted	cinched	lacing	stretch	do not soak	do not dryclean	dryclean only	cuff	covered button	piping	detachable	frill	sheer	opaque	translucent	gauzy	chandelier	tiered	gathered	trapezoid	beaded	rickrack	gimp	cord	braid	passementerie	rosette	pompom	top sitch	cross-sitch	needlepoint	flounce	draw-string	grommets																																																																																																																																																																																																																																	
Period	5	1800s	1900s	1920s	1930s	1940s	1950s	1960s	1970s	1980s	1990s	Regency	Victorian	Edwardian	Elizabeth	la belle epoque	orientalism	new-look	dior-new look	decadence	flapper	ww2	ww1	power dressing	utility rationing	new romantics	disco	georgian	tudor	teddy boys	beats	beatnik	charleston	bright young things	art deco	art nouveau	roaring twenties	rational clothing	hollywood glamour	glamour girls	old hollywood	swinging sixties	minis	jiving	op art	flower power	ethinic folklore	folkoric	disco fever	new romantics	yuppies	grunge	deconstructionism	purism																																																																																																																																																																																																																																																																																																																																																																														
Fabric	3	Whipcord	Wigan	Windstopper	Wool	Worcester	Worsted wool	Yarn	Youghal lace	Zephyr	Zibeline	Zorbeez	terrycotton	terrysilk	terrywool	terrywool	Vinyl	Viyella	Voile	Wadmal	Waxed cotton	Ticking	Toile	Tricot knit	Tucuyo	Tulle	Tulle netting	Tussar silk	Tweed	Twill	Ultrasuede	Vegetable flannel	Velour	Velours du Kasaï	Velvet	Velveteen	Venetian Lace	Venetian Wool	Ventile	flanel	Aba	Acrilan fabric	Acrylic	Aertex	Airdura	Airguard	Alençon lace	Alpaca	Androsia	Angora	Antique satin	Argentan lace	Argentella lace	Argyle	Armenian needlelace	Baize	Ballistic nylon	Bamboo	Ban-Lon	Barathea	Barkcloth	Batik	Batiste	Battenberg lace	Bedford cord	Beetling	Benaras	Bengaline silk	Beta cloth	Bingata	Bird's-Eye Weave	Bizarre silk	Bobbinet	Boiled wool	Bombazine	Bouclé	Braid	Brilliantine	Broadcloth	Brocade	Broderie Anglaise	Buckram	Bunting	Burano lace	Buratto lace	Burlap	Burnout	Bògòlanfini	C change	Calendering	Calico	Cambric	Camel's hair	Camlet	Canvas	Capilene	Carbon fiber	Carrickmacross lace	Casement	Cashmere	Cavalry twill	Cedar bark	Challis	Chambray	Chantilly lace	Char cloth	Charmeuse	Charvet	Cheesecloth	Chenille	Chiengora	Chiffon	Chino	Chintz	Chiné	Cloqué	Cloth of gold	Coir	Conductive	Coolmax	Cordura	Corduroy	Cotton	Cotton duck	Coutil	Crape	Cretonne	Crimplene		Crochet	Crêpe	Crêpe de Chine	Crêpe-back satin	Damask	Darlexx	Dazzle	Decatising	Delaine wool	Denim	Devoré	Dimity	Dobby	Doeskin	Donegal tweed	Dornix	Dotted Swiss	Double cloth	Double knitting	Double weave	Dowlas	Drill	Drugget	Duck	Dupioni silk	Dyeing	Dyneema	E-textiles	Egyptian cotton	Eolienne	Faile	Faux fur	Felt	Fiber	Filet/Lacis lace	Finishing	Fishnet	Flannel	Flannelette	Fleece	Foulard	Fulling	Fustian	Gabardine	Gannex	Gauze	Gazar	Georgette	Ghalamkar	Gingham	Gore-Tex	Grenadine	Grenfell Cloth	Grosgrain	Habutai	Haircloth	Halas lace	Harris Tweed	Heather knit	Heatsetting	Hemp	Herringbone	Himroo	Hodden	Holland cloth	Hollie Point lace	Hopsack	Houndstooth	Houndstooth check	Indian cotton	Indienne	Intarsia	Interlock	Irish linen	Jaconet	Jacquard	Jacquard knit	Jamdani	Jersey	Jute	Kemp	Kenmare Lace	Kente cloth	Kerseymere	Kevlar	Khaki	Khaki drill	Khādī	Kincob	Knit	Knitting	Lace	Lambswool	Lampas	Lamé	Lantana	Lawn	Lawn cloth	Leather	Leatherette	Limerick lace	Linen	Linsey-woolsey	Loden	Longcloth	Loop knit	Lumalive	Lycra knit	Machine knitting	Mackinaw	Madapolam	Madras	Malimo	Marquisette	Matelassé	Melton	Mercerization	Merino	Mesh	Microfiber	Microfibre	Milliskin	Mockado	Mohair	Moire	Moleskin	Monk's cloth	Moquette	Mouflon	Mousseline	Muslin	Nainsook	Nankeen	Nap	Natural fiber	Needlerun Net	Neoprene	Ninon	Nomex	Nylon	Oilskin	Olefin	Organdy	Organza	Osnaburg	Ottoman	Oxford	Paduasoy	Paisley	Pandy	Panné velvet	Pashmina	Peau de Soie	Percale	Pin stripes	Piqué	Piña	Plissé	Plush	Point de France lace	Point de Gaze lace	Point de Venise lace	Polar fleece	Polyester	Pongee	Poplin	Punto in Aria lace	Qiviut	Quilting	Rakematiz	Ramie	Raschel knit	Raw silk	Rayadillo	Rayon	Rep	Reticella lace	Rib knit	Rib weave	Ribbon lace	Rinzu	Ripstop	Ripstop nylon	Rogan printing	Roller printing	Russell cord	Rōketsuzome	Sailcloth	Samite	Sateen	Satin	Saye	Scarlet	Scrim	Sea silk	Seersucker	Sequin	Serge	Shantung	Sharkskin	Shot silk	Shrinkage	Shweshwe	Silk	Silk Noil	Silnylon	Sisal	Smartwool	Songket	Spandex	Spider silk	Stockinette	Stub-tex	Stuff	Suede	Surah	Swatches and strike-offs	SympaTex	Synthetic fabric	Taffeta	Tais	Tambour lace	Tammana	Tapestry	Tartan	Tartan (Plaid)	Tattersall	Template:Samia begum	Teneriffe lace	Tenterhook	Terminology	Terry velour	Terrycloth	Ticking	Toile	Tricot knit	Tucuyo	Tulle	Tulle netting	Tussar silk	Tweed	Twill	Ultrasuede	Vegetable flannel	Velour	Velours du Kasaï	Velvet	Velveteen	Venetian Lace	Venetian Wool	Ventile	Vintage	Vinyl coated polyester	Viyella	Voile	Wadmal	Warp printing	Waxed cotton	Weaving	Whipcord	Wigan	Windstopper	Woodblock printing	Wool	Worcester	Worsted wool	Yarn	Youghal lace	Zephyr	Zibeline	Zorbeez	terrycotton	terrysilk	terrywool	amethyst	emerald	jade	jasper	ruby	sapphire	diamond	gold									
Feeling	3	Cute	ugly	cheap	comfortable	conservative	cool	modest	prim	prissy	revealing	roomy	sartorial	scanty	sensible	skimpy	slimming	sloppy	smart	snug	sporty	tight	tight-fitting	unfashionable	artistic	exotic	gypsy	free spirit	fun 	playful	bright	loud	creative	fabuluous	glamorous	vogue	chic	happy	upbeat	cheerful	stylish	trendy	fashionable	cute	sexy	adorable	curvy	sweet	flirty	lucky	unconventional	craftsy	striking	garish	tacky	kitsch	lulz	lol	omg	wow	awesome	great	fantastic	strong	exotic	exciting	uncommon	mysterious	smoky	seductive	energetic	outgoing	exaggarated	splashy	outlandish	intense	subtle	allure	idealistic	hopeful	maximum 	naked	skin	luxury	active	sunny	cool	tech	silicon valley	wall street	rodeo	ranch	ultra-glam	trashy	showing	fugly	lit	funny	relaxed	opulent	rich																																																																																																																																																																																																																																																																																																																															
Dress	5	Formal	Casual	Smart Casual	pajama	dressy	wedding	interview	informal	beach	black tie	white tie	prom	business casual	smart casual	semi-formal																																																																																																																																																																																																																																																																																																																																																																																																																				
Brand	7	Zara	spreadshirt	Jérémie Pauzié	Heavy Eco	A.P.C.	Reem Acra	Akris	Reem Alasadi	Alexander McQueen	Alfred Dunhill Ltd.	Charlie Allen	Ally Capellino	Alter és Kiss	Andrés Sardá	Andrew Marc	Anna Valentine	Anne Fontaine	Aquascutum	Armani	Audience by PETROU\MAN	Dominique Aurientis	Agnès b.	Badgley Mischka	Balenciaga	Bally Shoe	Balmain	Neil Barrett	Belle & Bunty	Bellville Sassoon	Berluti	Beulah London	Dirk Bikkembergs	Bill Blass Group	Ozwald Boateng	BodyMap	Boglioli	Bonia	Bontoni	Borsalino	Hugo Boss	Bottega Veneta	BP Studio	Veronique Branquinho	Malan Breton	Brioni	Thom Browne	Brunello Cucinelli	Bulgari	Burberry	Jon Buscemi	Nigel Cabourn	Cacharel	Camilla and Marc	Caraceni	Jane Carr	Carrera y Carrera	Cartier	Dean and Dan Caten	Roberto Cavalli	Céline	Cerruti	Cerruti 1881	Hussein Chalayan	Chanel	Charvet Place Vendôme	List of Charvet customers	Childrensalon	Chloé	Christian Dior S.A.	Clements Ribeiro	Colcci	Comme des Garçons	Common Projects	Jasper Conran	Corneliani	Costello Tagliapietra	Crolla	CuteCircuit	Cutler and Gross	Cyma Watches	Wendy Dagworthy	DAKS	Damani Dada	Damiani	DAS Collection	Ann Demeulemeester	Dior Homme	Dolce & Gabbana	Duvelleroy	Benoît-Pierre Emery	Ermanno Scervino	Escada	Etro	Extè	Façonnable	Fendi	Gianfranco Ferré	FFACE	Fiorucci	Tom Ford	Franck Sorbier	Frey Wille	Frost French	Holly Fulton	Diane von Fürstenberg	Katie Gallagher	John Galliano	Jean Paul Gaultier	Frida Giannini	Dege & Skinner	Gieves & Hawkes	Giusto Manetti Battiloro	Givenchy	Ana González	Goyard	Gravati	Great Greenland Furhouse	Gucci	H.J. Cave & Sons	Hackett London	Kevan Hall	Halston	Hamilton Jewelers	Tim Hamilton	Hansengross	Hardy Amies	Haus Alkire	Helmut Lang	Alexandre Herchcovitch	Hermès	Carolina Herrera	Hield	Georges Hobeika	House of Flora	Vivienne Hu	Huntsman, Savile Row Tailor	Iceberg	IRFE	Isabel Marant	Isaia	Jil Sander	Jimmy Choo Ltd	John Varvatos	Joseph	Karen Kane	Donna Karan	Mary Katrantzou	Rabih Kayrouz	Kenzo	Khaadi	Kiton	Michael Kors	Xander Kostroma	Kristall Smolensk	L.K.Bennett	La Martina	Lachasse	Christian Lacroix	Karl Lagerfeld	Lagos	Derek Lam	Lanvin	Lardini	Guy Laroche	Larusmiani	Monique Lhuillier	Carol Lim	Phillip Lim	J.Lindeberg	Linnanen	Dan Liu	LOEWE	Loro Piana	Christian Louboutin	Louis Vuitton	Luxottica	Draft:LËO-STAR République	Mad Carpentier	Madeleine Vramant	Tomas Maier	Mainbocher	Maison Margiela	Malo	Arefeh Mansouri	Marchesa	Martin Margiela	Marimekko	Marina Rinaldi	Mario Hernández	Marni	Mataano	Maui Jim	Max Mara	Maxfield Parrish	Stella McCartney	Lorenzo Merlino	Michael Michalsky	Carlos Miele	Missoni	Miu Miu	Issey Miyake	Modern Creation Munich	Moschino	Mulberry	Net-a-Porter	Nina Ricci	Norton & Sons	Obrey	Marvin Oduber	Charlotte Olympia	Oroton	Oscar and Jesus	Rick Owens	Oxxford Clothes	Cesare Paciotti	Paule Ka	Perry Ellis	Petrodvorets Watch Factory	PETROU\MAN	Nicolas Petrou	Pineda Covalín	Philipp Plein	Poltrona Frau	Pomellato	Henry Poole & Co	Prada	Pringle of Scotland	Project D	Emilio Pucci	Gareth Pugh	Qeelin	Randi Rahm	Raja Fashions	Raketa	Ralph & Russo	Ralph Lauren Corporation	Rayne	Regent	John Richmond	Carla Rigg	RM	Roberto Coin	Rochas	Rodarte	Narciso Rodriguez	Roland Mouret	Stéphane Rolland	Sergio Rossi	Christian Roth	Ralph Rucci	Rudsak	Rue du Mail	Sonia Rykiel	S.E.H Kelly	Elie Saab	Safilo	Salvatore Ferragamo S.p.A.	Sant Blanc	Ferdinando Sarmi	Sass & bide	Satya Paul	Elsa Schiaparelli	Sealup	Sermoneta Gloves	Shanghai Tang	Shiatzy Chen	Shreve & Co.	Raf Simons	John Smedley	Paul Smith	Smythson	Yotam Solomon	SONGZIO	Luciano Soprani	Garo Sparo	St. John	Star in the Hood	Stirling Cooper	Strathberry of Scotland	Jill Stuart	Stylenite	Anna Sui	Vivienne Tam	TechnoMarine	The Chelsea Cobbler	Threeasfour	Tibi	Tiffany & Co.	Tori Richard	Trands	Pauline Trigère	Trussardi	Tumbler and Tipsy	Turnbull & Asser	Kay Unger	Valentino SpA	Kris Van Assche	Walter van Beirendonck	Dries van Noten	Alexandre Vauthier	Bouchra Jarrar	Versace	Viktor & Rolf	Alexander Wang	Vera Wang	Warmenhoven & Venderbos	WarPaint International	Vivienne Westwood	Matthew Williamson	Women's Home Industries	Wooyoungmi	Workers for Freedom	Jason Wu	Wunderkind	Yohji Yamamoto	Yeohlee	Yuvna Kim	Yves Saint Laurent	Zeena Zaki	Giuseppe Zanotti	Ermenegildo Zegna	sabo	macy's	mens warehouse	urban outfitters	dsw	designer shoe warehouse	gap	banana republic	anthropologie	aldo	macys	macy	bloomingdales	bloomingdale	free people	chico	payless	saks fifth avenue	saks fifth	saks	saks fifth ave	footlocker	foot locker	finish line	finishline	neiman marcus	neimanmarcus	jc pennys	jc penny	jcpenny	famous footwear	disney	dicks sporting goods	sports authority	abercrombie	abercrombie and fitch	abercrombie fitch	abercrombie & fitch	armani exchange	armani	coach	mango	harry ronsen	hollister & co	hollister	hollister co	eastern mountain sports	american eagle outfitters	american eagle	new york co	american apparel	kmart	walmart	target	kohl	kohl's	sears	zumiez	rei	cabela	cabelas	tiffany co	tiffany	tiffany & co	ll bean	helzberg diamonds	nordstrom	james avery	kay jewelers	duane reade	walgreens	staples	best buy	gamestop	game stop	home depot	office depot	apple	bed bath beyond	lowe	lowes	bed bath & beyond	petsmart	pet smart	verizon	babies r us	toys r us	frys electronics	sprint	at & t	cvs	the container store	dollar tree	redbox	advance auto parts	ebgames	eb games	sam's club
Fabric Descript	3	Itchy	ripped	acid-washed	camoflage	plaid	floral	graphic	camouflage	all-over pattern	border pattern	border lines	jacquard	big floral	small floral	polkadot	dots	big dots	scallop																																																																																																																																																																																																																																																																																																																																																																																																																	
Season	5	spring	summer	autumn	winter	fall	cold	hot	rain	snow	beach	swim	resort	pre fall	monsoon	humid	dry	desert	drought	artic	polar vortex	humid	swamp	tropical	equatorial	subzero	hoth	polar																																																																																																																																																																																																																																																																																																																																																																																																								
Footwear	7	shoe	shoes	sneaker	sneakers	boot	boots	slipper	slippers	sandal	sandals	spat	spats	croc	crocs	dress-shoes	boot	boots	flip-flops	flip-flop	sandal	heels	high-heels	highheels	kitten heels	1 inch	1.5 inch	2 inch	3 inch	platform shoes	siletto	dance shoes	wedge heels	oxford	wellington	tights	leggings	legging	kitten heels	sandals	gladiator																																																																																																																																																																																																																																																																																																																																																																																											
Bag	7	bag	backpack	handbag	hand-bag	handbags	chanel	duffel	satchel	tote	messenger	saddle	clutch	wristlet	wallet	cross body	atheletic bag	gym bag	box bag	bucket bag	camera bag	canteen 	carpet bag	convertible bag	drawstring bag	envelope bag	feed bag	fishing careel	flight bag	overnight bag	travel bag	half moon bag	tote bag	carryon bag	carry-on	mini	miniaudiere	muff	pouch	fanny pack	go-bag	bug out bag	safari bag	satchel	school bag	shoulder bag	swagger bag	swag bag	haul	quilted bag	baguette	barrel bag	doctor bag	flap bag	frame bag	saddle bag	shopper bag	kelly bag	birkin bag	structured bag	double handle bag																																																																																																																																																																																																																																																																																																																																																																							
Pop culture	5	disney	hollywood	addams family	wes anderson	moonrise kingdom	sofia coppla	marie antoniette	downton abbey	hunger games	dystopia	cinderella	a song of ice and fire	game of thrones	harry potter	twilight	oscar	grammy	vma	mtv	wet hot american summer	mad men	sherlock	bond	empire	ovo	house of cards	onitb	rihanna	lady gaga	jessica alba	victoria beckham	beckham	taylor swift	nicki minaj	Lupita Nyong'o	Leonardo DiCaprio	Wall Street	New York	Devil Wears Prada	Sound of Muisc	Gwyneth Paltrow	Laverne Cox	Hari Nef	Sienna Miller	Mirinda Kerr	Heidi Klum	Tyra Banks	Oprah	Christina Ricci	Maleficient	Narnia	Tim Burton	Nightmare Before Christmas	Princess Diana	Beatles	Sex Pistols	Metallica	Linkin Park	My Chemical Romance	The Killers	Kerry Washington	Blake Lively	Gossip Girl	Sex and the City	Love Actually	Anne Hathaway	Star Wars	Star Trek	Dungeons and Dragons		wiccan	magic	pagan	witch																																																																																																																																																																																																																																																																																																																																																									
Boost	10	black_tie_women																																																																																																																																																																																																																																																																																																																																																																																																																																		